id_municipio,municipio_nome,municipio_cetesb,agencia,endereco,numero,bairro,municipio_sede,cep,telefone,fax,email,url
3502507,Aparecida,APARECIDA,Agência Ambiental de Taubaté,Av. Itambé,38,Sta. Luzia,Taubaté,12091-200,(12) 3634-8222,(12) 3634-8234,taubate_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=APARECIDA
3502606,Aparecida d'Oeste,APARECIDA D`OESTE,Agência Ambiental de Jales,Rua Nova Iorque,1016,Jardim Monterey,Jales,15703-326,(17) 3621-1042,(17) 3621-1042,jales_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=APARECIDA%20D%60OESTE
3502705,Apiaí,APIAÍ,Agência Ambiental de Capão Bonito,Rua Denise,131,Terras de Imbirucu,Capão Bonito,18304-700,(15) 3542-3173,(15) 3542-3173,capaobonito_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=APIA%CD
3502754,Araçariguama,ARAÇARIGUAMA,Agência Ambiental de Itu,Rua Santa Rita,1165,Centro,Itu,13300-065,(11) 4013-3419,(11) 4013-3419,itu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARA%C7ARIGUAMA
3502804,Araçatuba,ARAÇATUBA,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARA%C7ATUBA
3502903,Araçoiaba da Serra,ARAÇOIABA DA SERRA,Agência Ambiental de Sorocaba,Rua Epitácio Pessoa,269,Além Ponte,Sorocaba,18013-190,(15) 3222-2065,(15) 3222-2065,sorocaba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARA%C7OIABA%20DA%20SERRA
3503000,Aramina,ARAMINA,Agência Ambiental de Franca,Av. Dr. Flávio Rocha,4551,Pq. dos Pinhais,Franca,14405-600,(16) 3724-5922,(16) 3724-5922,franca_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARAMINA
3503109,Arandu,ARANDU,Agência Ambiental de Avaré,Av Governador Mário Covas,525,Vila Industrial,Avaré,18705-851,(14) 3732-4900,( ) -,avare_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARANDU
3503158,Arapeí,ARAPEÍ,Agência Ambiental de Taubaté,Av. Itambé,38,Sta. Luzia,Taubaté,12091-200,(12) 3634-8222,(12) 3634-8234,taubate_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARAPE%CD
3503208,Araraquara,ARARAQUARA,Agência Ambiental de Araraquara,Av. Castro Alves,1271,Carmo,Araraquara,14800-140,(16) 3332-2211,(16) 3332-2211,araraquara_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARARAQUARA
3503307,Araras,ARARAS,Agência Ambiental de Mogi Guaçu,Rua Hugo Pancieira,400,Pedregulhal,Mogi Guaçu,13845-190,(19) 3818-0396,(19) 3818-0396,mogiguacu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARARAS
3503356,Arco-Íris,ARCO-ÍRIS,Agência Ambiental de Marília,Rua Santa Helena,436,Jd. Alvorada,Marília,17513-322,(14) 3422-4666,(14) 3422-4666,marilia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARCO-%CDRIS
3503406,Arealva,AREALVA,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AREALVA
3503505,Areias,AREIAS,Agência Ambiental de Taubaté,Av. Itambé,38,Sta. Luzia,Taubaté,12091-200,(12) 3634-8222,(12) 3634-8234,taubate_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AREIAS
3503604,Areiópolis,AREIÓPOLIS,Agência Ambiental de Botucatu,Rua Lourenço Carmelo,180,Jardim Paraíso,Botucatu,18610-265,(14) 3882-1134,(14) 3882-1134,botucatu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AREI%D3POLIS
3503703,Ariranha,ARIRANHA,Agência Ambiental de São José do Rio Preto,Av. Floriano André Cabrera,,Res.Cidade Jardim- J.S. Marcos,São José Do Rio Preto,15081-490,(17) 3218-4300,(17) 3218-4300,riopreto_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARIRANHA
3503802,Artur Nogueira,ARTUR NOGUEIRA,Agência Ambiental de Limeira,Av. Vitório Bortolan,1450,Pq. Abílio Pedro,Limeira,13483-132,(19) 3451-6203,(19) 3451-6203,limeira_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARTUR%20NOGUEIRA
3503901,Arujá,ARUJÁ,Agência Ambiental do Tatuapé,Av. Celso Garcia,2593,Belenzinho,São Paulo,03063-000,(11) 2296-6711,(11) 2294-6566,tatuape_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ARUJ%C1
3503950,Aspásia,ASPÁSIA,Agência Ambiental de Jales,Rua Nova Iorque,1016,Jardim Monterey,Jales,15703-326,(17) 3621-1042,(17) 3621-1042,jales_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ASP%C1SIA
3504008,Assis,ASSIS,Agência Ambiental de Assis,Via Chico Mendes,75,Quinta dos Flamboyants,Assis,19810-005,(18) 3324-4177,(18) 3324-4177,assis_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ASSIS
3504107,Atibaia,ATIBAIA,Agência Ambiental de Atibaia,Rua Castro Fafe,295,Centro,Atibaia,12940-440,(11) 4411-6466,(11) 4411-6466,atibaia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=ATIBAIA
3504206,Auriflama,AURIFLAMA,Agência Ambiental de Jales,Rua Nova Iorque,1016,Jardim Monterey,Jales,15703-326,(17) 3621-1042,(17) 3621-1042,jales_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AURIFLAMA
3504305,Avaí,AVAÍ,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AVA%CD
3504404,Avanhandava,AVANHANDAVA,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AVANHANDAVA
3504503,Avaré,AVARÉ,Agência Ambiental de Avaré,Av Governador Mário Covas,525,Vila Industrial,Avaré,18705-851,(14) 3732-4900,( ) -,avare_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=AVAR%C9
3504602,Bady Bassitt,BADY BASSITT,Agência Ambiental de São José do Rio Preto,Av. Floriano André Cabrera,,Res.Cidade Jardim- J.S. Marcos,São José Do Rio Preto,15081-490,(17) 3218-4300,(17) 3218-4300,riopreto_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BADY%20BASSITT
3504701,Balbinos,BALBINOS,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BALBINOS
3504800,Bálsamo,BÁLSAMO,Agência Ambiental de São José do Rio Preto,Av. Floriano André Cabrera,,Res.Cidade Jardim- J.S. Marcos,São José Do Rio Preto,15081-490,(17) 3218-4300,(17) 3218-4300,riopreto_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=B%C1LSAMO
3504909,Bananal,BANANAL,Agência Ambiental de Taubaté,Av. Itambé,38,Sta. Luzia,Taubaté,12091-200,(12) 3634-8222,(12) 3634-8234,taubate_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BANANAL
3505005,Barão de Antonina,BARÃO DE ANTONINA,Agência Ambiental de Avaré,Av Governador Mário Covas,525,Vila Industrial,Avaré,18705-851,(14) 3732-4900,( ) -,avare_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BAR%C3O%20DE%20ANTONINA
3505104,Barbosa,BARBOSA,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARBOSA
3505203,Bariri,BARIRI,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARIRI
3505302,Barra Bonita,BARRA BONITA,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARRA%20BONITA
3505351,Barra do Chapéu,BARRA DO CHAPÉU,Agência Ambiental de Capão Bonito,Rua Denise,131,Terras de Imbirucu,Capão Bonito,18304-700,(15) 3542-3173,(15) 3542-3173,capaobonito_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARRA%20DO%20CHAP%C9U
3505401,Barra do Turvo,BARRA DO TURVO,Agência Ambiental de Registro,Rua Sao Bento,249,Jd. Sao Nicolau,Registro,11900-000,(13) 3822-3855,(13) 3822-4437,registro_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARRA%20DO%20TURVO
3505500,Barretos,BARRETOS,Agência Ambiental de Barretos,Rua 30,564,Centro,Barretos,14780-120,(17) 3323-1790,( ) -,barretos_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARRETOS
3505609,Barrinha,BARRINHA,Agência Ambiental de Jaboticabal,Av. Angelo Morello,60,Jardim Santa Rosa,Jaboticabal,14875-290,(16) 3203-9400,(16) 3203-9400,jaboticabal_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARRINHA
3505708,Barueri,BARUERI,Agência Ambiental de Osasco,Rua Anete Queiroz Lacerda,80,Jd. Bonfiglioli,São Paulo,05591-080,(11) 3721-9600,(11) 3721-9600,osasco_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BARUERI
3505807,Bastos,BASTOS,Agência Ambiental de Marília,Rua Santa Helena,436,Jd. Alvorada,Marília,17513-322,(14) 3422-4666,(14) 3422-4666,marilia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BASTOS
3505906,Batatais,BATATAIS,Agência Ambiental de Franca,Av. Dr. Flávio Rocha,4551,Pq. dos Pinhais,Franca,14405-600,(16) 3724-5922,(16) 3724-5922,franca_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BATATAIS
3506003,Bauru,BAURU,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BAURU
3506102,Bebedouro,BEBEDOURO,Agência Ambiental de Barretos,Rua 30,564,Centro,Barretos,14780-120,(17) 3323-1790,( ) -,barretos_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BEBEDOURO
3506201,Bento de Abreu,BENTO DE ABREU,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BENTO%20DE%20ABREU
3506300,Bernardino de Campos,BERNARDINO DE CAMPOS,Agência Ambiental de Assis,Via Chico Mendes,75,Quinta dos Flamboyants,Assis,19810-005,(18) 3324-4177,(18) 3324-4177,assis_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BERNARDINO%20DE%20CAMPOS
3506359,Bertioga,BERTIOGA,Agência Ambiental de Cubatão,Rua Salgado Filho,353,Jd. Costa e Silva,Cubatão,11500-270,(13) 3361-6663,(13) 3361-6743,cubatao_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BERTIOGA
3506409,Bilac,BILAC,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BILAC
3506508,Birigui,BIRIGUI,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BIRIGUI
3506607,Biritiba-Mirim,BIRITIBA MIRIM,Agência Ambiental de Mogi das Cruzes,Rua Francisco Franco,133,Centro,Mogi Das Cruzes,08710-590,(11) 4723-2130,( ) -,mogi_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BIRITIBA%20MIRIM
3506706,Boa Esperança do Sul,BOA ESPERANÇA DO SUL,Agência Ambiental de Araraquara,Av. Castro Alves,1271,Carmo,Araraquara,14800-140,(16) 3332-2211,(16) 3332-2211,araraquara_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOA%20ESPERAN%C7A%20DO%20SUL
3506805,Bocaina,BOCAINA,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOCAINA
3506904,Bofete,BOFETE,Agência Ambiental de Botucatu,Rua Lourenço Carmelo,180,Jardim Paraíso,Botucatu,18610-265,(14) 3882-1134,(14) 3882-1134,botucatu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOFETE
3507001,Boituva,BOITUVA,Agência Ambiental de Itu,Rua Santa Rita,1165,Centro,Itu,13300-065,(11) 4013-3419,(11) 4013-3419,itu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOITUVA
3507100,Bom Jesus dos Perdões,BOM JESUS DOS PERDÕES,Agência Ambiental de Atibaia,Rua Castro Fafe,295,Centro,Atibaia,12940-440,(11) 4411-6466,(11) 4411-6466,atibaia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOM%20JESUS%20DOS%20PERD%D5ES
3507159,Bom Sucesso de Itararé,BOM SUCESSO DE ITARARÉ,Agência Ambiental de Capão Bonito,Rua Denise,131,Terras de Imbirucu,Capão Bonito,18304-700,(15) 3542-3173,(15) 3542-3173,capaobonito_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOM%20SUCESSO%20DE%20ITARAR%C9
3507209,Borá,BORÁ,Agência Ambiental de Assis,Via Chico Mendes,75,Quinta dos Flamboyants,Assis,19810-005,(18) 3324-4177,(18) 3324-4177,assis_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOR%C1
3507308,Boracéia,BORACÉIA,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BORAC%C9IA
3507407,Borborema,BORBOREMA,Agência Ambiental de Araraquara,Av. Castro Alves,1271,Carmo,Araraquara,14800-140,(16) 3332-2211,(16) 3332-2211,araraquara_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BORBOREMA
3507456,Borebi,BOREBI,Agência Ambiental de Bauru,Av. Rodrigues Alves - Quadra 38,138,V. Coralina,Bauru,17030-000,(14) 3203-2058,(14) 3203-2344,bauru_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOREBI
3507506,Botucatu,BOTUCATU,Agência Ambiental de Botucatu,Rua Lourenço Carmelo,180,Jardim Paraíso,Botucatu,18610-265,(14) 3882-1134,(14) 3882-1134,botucatu_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BOTUCATU
3507605,Bragança Paulista,BRAGANÇA PAULISTA,Agência Ambiental de Atibaia,Rua Castro Fafe,295,Centro,Atibaia,12940-440,(11) 4411-6466,(11) 4411-6466,atibaia_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BRAGAN%C7A%20PAULISTA
3507704,Braúna,BRAÚNA,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BRA%DANA
3507753,Brejo Alegre,BREJO ALEGRE,Agência Ambiental de Araçatuba,Rua Ten. Alcides Teodoro dos Santos,260,Aviação,Araçatuba,16055-557,(18) 3608-8053,(18) 3608-7197,aracatuba_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BREJO%20ALEGRE
3507803,Brodowski,BRODOWSKI,Agência Ambiental de Ribeirão Preto,Av. Presidente Kennedy,1760,Ribeirânia,Ribeirão Preto,14096-350,(16) 3617-4700,(16) 3617-4207,ribeirao_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BRODOWSKI
3507902,Brotas,BROTAS,Agência Ambiental de São Carlos,Avenida das Azaléias,700,Cidade Jardim,São Carlos,13566-500,(16) 3361-2004,(16) 3361-2004,saocarlos_cetesb@sp.gov.br,https://licenciamento.cetesb.sp.gov.br/municipioss.asp?muni=BROTAS
